Region,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas,Population
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24
3,13,7,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,25
3,19,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62
3,39,5,8,0,0,5,4,1,0,0,0,0,1,2,1,7,2,14,2,0,0,277
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,19
3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
3,6,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,36
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,91
3,69,8,23,3,0,8,17,8,1,1,1,0,1,1,3,8,3,0,1,3,0,415
3,96,4,21,2,0,10,26,5,3,3,1,0,0,2,2,9,1,1,3,2,0,530
3,231,19,172,6,1,53,147,51,11,6,12,0,3,25,33,36,21,3,18,24,0,2307
3,7,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56
3,1,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
3,222,30,185,8,3,64,146,61,18,3,12,0,9,13,39,49,14,4,24,32,1,2324
3,86,47,142,7,5,61,127,67,26,1,5,0,2,23,66,41,19,2,19,8,1,1997
3,56,1,25,1,1,11,30,13,4,0,1,0,1,6,14,9,2,1,5,1,0,458
3,227,22,115,3,0,123,165,87,9,2,4,0,6,9,46,20,11,2,15,37,2,2472
3,44,6,25,1,1,15,37,13,0,0,1,0,0,3,5,5,2,1,8,4,0,437
3,3,0,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26
3,9,0,3,1,0,1,8,3,0,0,0,0,0,0,2,1,2,0,0,2,0,76
3,14,3,1,1,0,3,4,6,1,0,0,0,0,0,1,1,0,0,0,0,0,83
3,16,0,5,1,0,8,9,9,0,1,2,0,1,0,2,4,0,0,1,1,0,163
3,82,3,14,1,0,22,54,15,1,0,4,0,3,5,3,1,1,0,5,4,0,507
3,132,6,20,1,0,24,61,27,5,0,2,0,1,4,7,5,6,1,1,2,0,751
3,38,3,20,2,0,15,35,14,2,1,4,0,0,0,2,7,3,1,6,7,0,374
3,15,0,12,1,1,5,15,13,0,1,1,0,0,2,1,0,3,0,6,2,0,204
3,30,1,2,1,0,3,6,1,0,0,0,0,0,0,3,0,1,0,1,0,0,113
3,7,1,7,0,0,2,1,5,0,0,1,0,0,0,0,1,1,0,1,0,0,71
3,62,15,56,9,4,70,99,60,10,4,4,0,4,9,39,39,18,1,14,12,2,1452
3,8,0,21,1,0,10,34,12,2,0,1,0,0,6,16,11,7,0,10,2,0,349
3,3,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,35
3,18,8,15,5,0,40,48,16,9,4,3,0,4,3,24,22,7,1,8,4,0,550
3,43,42,95,7,1,99,150,60,27,9,9,1,4,32,80,43,26,6,28,18,3,1892
3,0,0,1,0,1,0,4,1,0,0,1,0,0,0,4,0,2,0,1,0,0,30
3,5,1,2,1,0,9,8,8,1,1,0,0,0,2,3,6,1,0,1,0,0,134
3,3,0,0,0,0,6,4,4,0,0,0,0,0,1,5,1,2,0,0,4,0,64
3,10,4,6,3,0,11,19,9,2,0,1,0,0,0,1,2,5,0,0,0,0,197
3,12,1,0,0,0,4,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,53
3,9,1,2,0,0,9,8,6,0,1,1,0,0,0,3,1,1,0,2,0,0,118
3,6,2,3,0,0,7,8,0,1,1,0,0,3,2,1,2,0,0,1,3,0,126
3,4,0,3,0,0,4,5,4,0,0,0,0,1,0,2,2,1,0,1,0,0,51
3,3,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,8,0,1,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,22,1,2,0,0,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,90
3,14,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48
3,17,0,2,1,0,1,4,3,0,0,0,0,0,0,0,1,0,0,0,2,0,69
3,26,0,2,0,0,0,4,6,0,0,0,0,0,0,4,0,0,1,2,2,0,112
3,40,0,3,0,0,5,15,10,0,0,1,0,0,0,4,4,0,0,0,2,0,237
3,55,1,3,1,0,28,19,6,0,0,1,0,0,1,4,4,3,0,6,24,0,381
3,24,0,3,0,1,11,12,3,0,0,0,0,0,1,2,2,2,0,1,0,0,156
